FQDN,class_0_1,max_label_legnth,avg_label_legnth,labels_num,digits_num,total_characters,upperclass_letters_num,entropy
gmail.tamtam.nl,0,6,3.25,4,0,16,13,2.66122625626979
www.saymsoftball.com,0,12,4.5,4,0,21,18,3.3502090290998976
www.ocms-yso.org,0,8,3.5,4,0,17,13,2.8150724101159437
cdn.foundationsource.com,0,16,5.5,4,0,25,22,3.4817145729860726
www.vx-security.com,0,11,4.25,4,0,20,16,3.577819531114783
cdn.thirstie.com,0,8,3.5,4,0,17,14,3.3787834934861767
hotelnautico.googlepages.com,0,12,6.5,4,0,29,26,3.5804621997271013
www.greatoutdoorsandsurvival.com,0,24,7.5,4,0,33,30,3.831401845392171
craigslist.se,0,10,4.0,3,0,14,12,3.0220552088742
sites.pozara.com,0,6,3.5,4,0,17,14,3.3787834934861767
blueraider85.googlepages.com,0,12,6.5,4,2,29,24,3.7962176025900556
ghs-svc-https-c1200.ghs-ssl.googlehosted.com,0,19,8.2,5,4,45,33,3.6105004072848916
www.keystonesolutions.in,0,17,5.5,4,0,25,22,3.3221793455166666
www.studentreachinternational.org,0,25,7.75,4,0,34,31,3.695501148817395
www.vinitahornets.com,0,13,4.75,4,0,22,19,3.576617644908667
app.sync.sajan.com,0,5,3.0,5,0,19,15,3.056564762130954
cdn.stopshop.com,0,8,3.5,4,0,17,14,3.039148671903071
laredet.nana10.co.il,0,7,3.4,5,2,21,15,3.454822399946607
cdn.elshaab.org,0,7,3.25,4,0,16,13,3.5465935642949384
mail.propertyboss.com,0,12,4.75,4,0,22,19,3.576617644908667
www.ramonambriz.com,0,11,4.25,4,0,20,17,3.1751231351134614
www.zerolikes.com,0,9,3.75,4,0,18,15,3.323231428797621
www.todoga.com,0,6,3.0,4,0,15,12,2.792481250360578
web-ster.com,0,8,3.6666666666666665,3,0,13,10,3.121928094887362
viafoura.com,0,8,3.6666666666666665,3,0,13,11,3.0957952550009344
www.humanityoutreach.com.ghs.googlehosted.com,0,16,5.714285714285714,7,0,46,40,3.8709505944546674
wono.snapshotreport.biz,0,14,5.25,4,0,24,21,3.535174565635903
bc-node-08.radiojar.com,0,10,5.25,4,2,24,17,3.576617644908667
www.sdfair.org,0,6,3.0,4,0,15,12,3.0220552088742005
thefreedictionary.com,0,17,6.666666666666667,3,0,22,20,3.5841837197791886
webmail.foregon.com,0,7,4.25,4,0,20,17,3.572469458770136
grupoabril.com.br,0,10,3.75,4,0,18,15,3.323231428797621
www.connieshi.net,0,9,3.75,4,0,18,15,3.006238928653389
www.ibestfile.com,0,9,3.75,4,0,18,15,3.3232314287976203
www.stormyhen.com,0,9,3.75,4,0,18,15,3.3232314287976203
mail.vietnamfinance.vn,0,14,5.0,4,0,23,20,3.1464393446710153
www.bcadventuretours.com,0,16,5.5,4,0,25,22,3.6978458230844127
www.thetudans.org.ghs.googlehosted.com,0,12,4.714285714285714,7,0,39,33,3.669119028896207
thucung.taoungdung.com,0,10,5.0,4,0,23,20,3.146439344671015
protectmycar.agilecrm.com,0,12,5.75,4,0,26,23,3.414441303694973
proxy.servidor.googlepages.com,0,11,5.4,5,0,31,27,3.6484318362032018
www.bigbendrailroadhistory.com,0,22,7.0,4,0,31,28,3.91379956460568
www.dtec.co.nz,0,4,2.2,5,0,15,11,2.845350936622437
isepaddysdayparade.googlepages.com,0,18,8.0,4,0,35,32,3.480337797403416
wiki.tothenew.com,0,8,3.75,4,0,18,15,3.2402239289418526
www.scottonfilm.com,0,11,4.25,4,0,20,17,3.175123135113461
www.pathwayofgrace.com,0,14,5.0,4,0,23,20,3.4841837197791885
mail.flex-sense.com,0,10,4.25,4,0,20,16,3.327819531114783
jimcrosby.canineaggressionissueswithjimcrosby.com.ghs.googlehosted.com,0,35,9.285714285714286,7,0,71,65,3.9434034446113997
gallery.a4desk.com,0,7,4.0,4,1,19,15,3.625
mail.fueltrans.com.au,0,9,3.6,5,0,22,18,3.5724312513221195
catalystkinggaming.ghs.googlehosted.com,0,18,7.2,5,0,40,36,3.731746181697386
www.tjraygun.com,0,8,3.5,4,0,17,14,3.4677201004744997
www.facturadirecta.com,0,14,5.0,4,0,23,20,3.4086949695628412
s-microsoft.com,0,11,4.666666666666667,3,0,16,13,2.8731406795131336
www.tacobun.com,0,7,3.25,4,0,16,13,3.0269868333592873
www.mrayc.com.ghs.googlehosted.com,0,12,4.142857142857143,7,0,35,29,3.5949054612278935
multicrew.setmore.com,0,9,4.75,4,0,22,19,3.326360407952695
mail.southridgeabstract.com,0,18,6.25,4,0,28,25,3.7834651896016473
www.phunk.com,0,5,2.75,4,0,14,11,3.027169118440619
app.physiotrack.co.uk,0,11,3.6,5,0,22,18,3.4613201402110083
mail.imagers.net,0,7,3.5,4,0,17,14,3.2359263506290334
on.shoptv.com,0,6,2.75,4,0,14,11,3.027169118440619
email.iriscover.com,0,9,4.25,4,0,20,17,3.2195282822995477
app.cannabisinsurancesales.com,0,22,7.0,4,0,31,28,3.437193208607594
mail.hoalife.com,0,7,3.5,4,0,17,14,3.09306920777189
oozima.agilecrm.com,0,8,4.25,4,0,20,17,3.175123135113461
governmentjobs.com,0,14,5.666666666666667,3,0,19,17,3.4548223999466066
www.longine.jp,0,7,3.0,4,0,15,12,3.0220552088742
mail.cvrce.edu.in,0,5,2.8,5,0,18,14,3.3787834934861767
mail.gkmassociates.com,0,13,5.0,4,0,23,20,3.3086949695628416
snapapp.com,0,7,3.3333333333333335,3,0,12,10,2.6464393446710157
mail.bontragersecurity.com,0,17,6.0,4,0,27,24,3.8035088547976788
cdn.warchest.com,0,8,3.5,4,0,17,14,3.4677201004745006
www.rentrivendelloc.com,0,15,5.25,4,0,24,21,3.463280517810811
ecotopiaradio.googlepages.com,0,13,6.75,4,0,30,27,3.4299083350961603
www.blackdocuments.com,0,14,5.0,4,0,23,20,3.6464393446710153
mail.neverlight.pl,0,10,4.0,4,0,19,16,3.452819531114783
www.westerveld-and-westerveld.com,0,25,7.75,4,0,34,29,3.4140395130266334
www.megaslips.com,0,9,3.75,4,0,18,15,3.323231428797621
www.metrohk.com.hk,0,7,3.0,5,0,19,15,3.0565647621309537
system4.homeboundhealth.com,0,15,6.25,4,1,28,24,3.723074189428569
cdn.strongsupplementshop.com,0,20,6.5,4,0,29,26,3.6612262562697895
mayfairbeautyparlour.com,0,20,7.666666666666667,3,0,25,23,3.6211755429194716
www.cunyufs.org,0,7,3.25,4,0,16,13,3.1808329872054415
cdn.ecoventsystems.com,0,14,5.0,4,0,23,20,3.2086949695628415
www.caprockmail.com,0,11,4.25,4,0,20,17,3.1751231351134614
badoo.com,0,5,2.6666666666666665,3,0,10,8,2.4056390622295662
donate.goodfridayappeal.com.au,0,16,5.4,5,0,31,27,3.7043494289560517
sublimevideo.net,0,12,5.0,3,0,17,15,3.4565647621309536
capitalplacement.agilecrm.com,0,16,6.75,4,0,30,27,3.4117518537749354
advice.leadpages.net,0,9,4.5,4,0,21,18,3.3502090290998976
mail.vinacafebienhoa.com,0,15,5.5,4,0,25,22,3.4251185503571397
www.c4ej.com,0,4,2.5,4,1,13,9,2.6464393446710157
mail.buah.de,0,4,2.5,4,0,13,10,3.121928094887362
dodge.com,0,5,2.6666666666666665,3,0,10,8,2.5
redhill.cusd10.org,0,7,4.0,4,2,19,14,3.625
www.techimprovement.com,0,15,5.25,4,0,24,21,3.427333493898265
www.rugbyworldcup.com,0,13,4.75,4,0,22,19,3.4058222502856914
www.scootbacks.com,0,10,4.0,4,0,19,16,2.9834585933443494
mail.spott.ly,0,5,2.75,4,0,14,11,3.0957952550009344
www.mediaktive.com,0,10,4.0,4,0,19,16,3.327819531114783
cdn.tradingcollege.co.uk,0,14,4.2,5,0,25,21,3.5944656369614525
www.abcmouse.com,0,8,3.5,4,0,17,14,3.039148671903071
tsc-58.cape.com,0,6,3.25,4,2,16,10,3.188721875540867
www.katwang.com,0,7,3.25,4,0,16,13,2.931208948910323
mail.drumhillford.com,0,12,4.75,4,0,22,19,3.326360407952695
mail.gocacademy.com,0,10,4.25,4,0,20,17,3.1307179879273748
mail.mmcreative.net,0,10,4.25,4,0,20,17,3.1751231351134614
pitcrew.setmore.com,0,7,4.25,4,0,20,17,3.219528282299548
www.yardsthegame.com,0,12,4.5,4,0,21,18,3.57243125132212
smtp.mundialcup.it,0,10,4.0,4,0,19,16,3.375
www.thelbnetwork.com,0,12,4.5,4,0,21,18,3.392147223664535
mail.bluelaserdesign.com,0,15,5.5,4,0,25,22,3.663532754804254
www.alanjanbay.com,0,10,4.0,4,0,19,16,3.077819531114783
mail.inrange.co.nz,0,7,3.0,5,0,19,15,3.3232314287976203
asacp.org,0,5,2.6666666666666665,3,0,10,8,2.75
mail.boldmarker.com,0,10,4.25,4,0,20,17,3.337175341123077
www.singaporelandscapedesign.com,0,24,7.5,4,0,33,30,3.71440934524794
www.waterlootechnicalsociety.org,0,24,7.5,4,0,33,30,3.631401845392172
www.recioy.com,0,6,3.0,4,0,15,12,2.8553885422075336
vps.coursepark.com,0,10,4.0,4,0,19,16,3.375
www.acerapis.com,0,8,3.5,4,0,17,14,3.182005814760214
admin.mozello.ru,0,7,3.5,4,0,17,14,3.3787834934861767
mail.bannhadat.com,0,9,4.0,4,0,19,16,3.25
www.silverado2.org,0,10,4.0,4,1,19,15,3.452819531114783
drive.rgsw.org.uk,0,5,2.8,5,0,18,14,3.3248629576173574
www.myjourneytofit.com.ghs.googlehosted.com,0,14,5.428571428571429,7,0,44,38,3.894613777516729
mail.smarthousehuahin.com,0,16,5.75,4,0,26,23,3.5555331514269963
mail.ifanboy.com,0,7,3.5,4,0,17,14,3.2359263506290334
www.dps-web.com,0,7,3.25,4,0,16,12,2.9182958340544896
mail.mcmtrucking.com,0,11,4.5,4,0,21,18,3.3502090290998976
www.marinechickvet.com,0,14,5.0,4,0,23,20,3.5464393446710156
sitestat.com,0,8,3.6666666666666665,3,0,13,11,2.845350936622437
www.idempiere.org,0,9,3.75,4,0,18,15,3.00623892865339
mail.diaocthanhle.com,0,12,4.75,4,0,22,19,3.366091329119193
www.wohneninwien.com,0,12,4.5,4,0,21,18,2.747167197306934
mail.soyolivia.com,0,9,4.0,4,0,19,16,3.0306390622295662
altaz.haji.googlepages.com,0,11,4.6,5,0,27,23,3.5883543471732335
www.undimancheasauve.com.ghs.googlehosted.com,0,16,5.714285714285714,7,0,46,40,3.8495817701478345
addictinggames.com,0,14,5.666666666666667,3,0,19,17,3.381580488309164
ghs-svc-https-c1055.ghs-ssl.googlehosted.com,0,19,8.2,5,4,45,33,3.6105004072848916
surg.bsmu.edu.ua,0,4,2.6,5,0,17,13,2.9312089489103235
personal.juniperbeach.net,0,12,5.75,4,0,26,23,3.7081320646586025
mail.dedood.com,0,6,3.25,4,0,16,13,2.8150724101159437
cdn.truconversion.com,0,13,4.75,4,0,22,19,3.391892644680934
www.ypntoday.com,0,8,3.5,4,0,17,14,3.1820058147602133
www.fontanafamily.org,0,13,4.75,4,0,22,19,3.4316235658474317
mail.rissaigon.edu.vn,0,9,3.6,5,0,22,18,3.5724312513221195
mail.kershinsurance.com,0,14,5.25,4,0,24,21,3.6304126608739984
www.mananaseguro.com,0,12,4.5,4,0,21,18,3.3082708345352603
mail.topnotchembroidery.net,0,18,6.25,4,0,28,25,3.7532696895151085
xabi.elustondo.googlepages.com,0,11,5.4,5,0,31,27,3.750464706653701
mail.citicarenv.org,0,10,4.25,4,0,20,17,3.454822399946607
cdn.capsulecrm.com,0,10,4.0,4,0,19,16,3.375
12-41-206-244.sonicdrivein.com,0,13,7.0,4,10,31,15,3.753269689515108
ghs-svc-https-c91.ghs-ssl.googlehosted.com,0,17,7.8,5,2,43,33,3.4961041752669613
www.radiusnetworks.com,0,14,5.0,4,0,23,20,3.621928094887362
www.amhnetworks.com,0,11,4.25,4,0,20,17,3.3815804883091634
api.lienwaivers.io,0,11,4.0,4,0,19,16,3.25
www.tananaev.com,0,8,3.5,4,0,17,14,2.9852281360342516
www.instantdrains.com,0,13,4.75,4,0,22,19,3.3263604079526945
docs.silpakorn.edu,0,9,4.0,4,0,19,16,3.625
www.bordersecurityblog.com.ghs.googlehosted.com,0,18,6.0,7,0,48,42,3.80491184032502
mail.khkholdings.com,0,11,4.5,4,0,21,18,3.5032583347756456
www.clickondetroit.com,0,14,5.0,4,0,23,20,3.4086949695628412
www.meeb.us,0,4,2.25,4,0,12,9,2.4193819456463714
mail.onelwindowdressings.nl,0,19,6.25,4,0,28,25,3.4332696895151087
mail.clariont.com,0,8,3.75,4,0,18,15,3.1068905956085184
www.transfernow.net,0,11,4.25,4,0,20,17,2.984234164652489
worldoftanks.com,0,12,5.0,3,0,17,15,3.589898095464287
www.jelani.net,0,6,3.0,4,0,15,12,2.8553885422075336
cdn.footiemanager.com,0,13,4.75,4,0,22,19,3.47135448701393
www.monitorcalculator.com,0,17,5.75,4,0,26,23,3.327484781955842
mail.fdo.fi,0,4,2.25,4,0,12,9,2.725480556997868
cdn.guitarsalon.com,0,11,4.25,4,0,20,17,3.6168746059562227
swtjcstudentsuccess.setmore.com,0,19,7.25,4,0,32,29,3.2886784087714713
mail.rkeeper.at,0,7,3.25,4,0,16,13,3.0269868333592873
muscleandfitness.com,0,16,6.333333333333333,3,0,21,19,3.576617644908667
craveonline.com,0,11,4.666666666666667,3,0,16,14,3.2359263506290334
mail.generaldeseguros.com.do,0,16,5.0,5,0,29,25,3.573660689688186
atdmt.com,0,5,2.6666666666666665,3,0,10,8,2.5
63-214.cape.com,0,6,3.25,4,5,16,7,3.418295834054489
mail.cangrejitos.com,0,11,4.5,4,0,21,18,3.614369445886757
mail.river-valley.com,0,12,4.75,4,0,22,18,3.239097917988786
static.view.g.imapbuilder.net,0,11,4.166666666666667,6,0,30,25,3.8634651896016456
cdn.freundevonfreunden.com,0,18,6.0,4,0,27,24,3.153107168362811
calendar.ssis.edu.vn,0,8,3.4,5,0,21,17,3.337175341123077
69-7-10-168.rev.cape.com,0,11,4.2,5,8,25,10,3.725480556997868
mail.pirlotweb.com,0,9,4.0,4,0,19,16,3.5
mail.bin-live.com,0,8,3.75,4,0,18,14,3.182005814760214
mail.dawson.k12.ga.us,0,6,2.8333333333333335,6,2,22,15,3.690116517593666
app.careerbuildercareers.com,0,20,6.5,4,0,29,26,3.364706796864147
mail.liveonpoint.org,0,11,4.5,4,0,21,18,3.4193819456463714
mail.viothun.com,0,7,3.5,4,0,17,14,3.3787834934861767
mail.latinoequalityalliance.org,0,22,7.25,4,0,32,29,3.505591996890551
www.thebluebirdcottageinn.com,0,21,6.75,4,0,30,27,3.85619629821938
real.oakhill.nsw.edu.au,0,7,3.1666666666666665,6,0,24,19,3.536886723742169
mail.vieter.vn,0,6,3.0,4,0,15,12,3.084962500721156
tsc-109.cape.com,0,7,3.5,4,3,17,10,3.334679141051595
docusign.net,0,8,3.6666666666666665,3,0,13,11,3.2776134368191165
start.neojoko.com,0,7,3.75,4,0,18,15,3.240223928941852
www.sephora.com.br,0,7,3.0,5,0,19,15,3.323231428797621
www.dublincornersfarm.com.ghs.googlehosted.com,0,17,5.857142857142857,7,0,47,41,3.972332796826103
mail.sltrib.com,0,6,3.25,4,0,16,13,3.238901256602631
www.okiizo.net,0,6,3.0,4,0,15,12,2.8553885422075336
www.ichirakusf.com,0,10,4.0,4,0,19,16,3.452819531114783
www.viamichelin.es,0,11,4.0,4,0,19,16,3.2806390622295662
www.instavillage.com,0,12,4.5,4,0,21,18,3.57243125132212
can-lab.org,0,7,3.3333333333333335,3,0,12,9,2.94770277922009
api.awmi.net,0,4,2.5,4,0,13,10,2.9219280948873623
69-7-0-63.rev.cape.com,0,9,3.8,5,6,23,10,3.625
mail.fah.com,0,4,2.5,4,0,13,10,2.9219280948873623
www.fingredient.com,0,11,4.25,4,0,20,17,3.4548223999466066
www.laurenplusjames.com,0,15,5.25,4,0,24,21,3.5944656369614525
mail.iafil.it,0,5,2.75,4,0,14,11,2.3685225277282065
www.graywits.com,0,8,3.5,4,0,17,14,3.2359263506290326
cloud.thetracktor.com,0,11,4.75,4,0,22,19,3.391892644680933
www.scuolasorriso.org,0,13,4.75,4,0,22,19,3.076103170996723
mail.iotech.co.za,0,6,2.8,5,0,18,14,3.2359263506290334
104.154.172.89.leadpagestest.net,0,13,3.857142857142857,7,11,33,16,3.884155094595805
ghs-svc-https-c1201.ghs-ssl.googlehosted.com,0,19,8.2,5,4,45,33,3.6105004072848916
cdn.akb48.co.jp,0,5,2.4,5,2,16,10,3.418295834054489
rrmaclac.googlepages.com,0,11,5.5,4,0,25,22,3.2312702546075758
www.listyourhomeontheweb.com,0,20,6.5,4,0,29,26,3.6714055834424975
mail.moffettelectric.com,0,15,5.5,4,0,25,22,3.231270254607576
cdn.unitedpursuit.com,0,13,4.75,4,0,22,19,3.4713544870139303
mnpublishing.leadpages.net,0,12,6.0,4,0,27,24,3.6887218755408675
cdn.raygun.io,0,6,2.75,4,0,14,11,3.2776134368191165
cdn.psyche.co.uk,0,6,2.6,5,0,17,13,3.334679141051595
mail.madmultimedia.nl,0,13,4.75,4,0,22,19,2.970840013101986
69-7-7-84.rev.cape.com,0,9,3.8,5,6,23,10,3.625
www.ericalea.com.ghs.googlehosted.com,0,12,4.571428571428571,7,0,38,32,3.628928031846024
www.monkhouse.biz,0,9,3.75,4,0,18,15,3.456564762130954
mail.boss-solutions.com,0,14,5.25,4,0,24,20,3.2219280948873625
www.ricochetmusic.com,0,13,4.75,4,0,22,19,3.260828171224457
www.shutthedoorandteach.com,0,19,6.25,4,0,28,25,3.5630741894285696
mail.twelve-dots.com,0,11,4.5,4,0,21,17,3.4992275471326932
naytev.com,0,6,3.0,3,0,11,9,3.169925001442312
www.papava.net,0,6,3.0,4,0,15,12,2.625814583693911
www.seestern-segeln.de,0,15,5.0,4,0,23,19,2.8258459340407502
www.uncorkwashington.com.ghs.googlehosted.com,0,16,5.714285714285714,7,0,46,40,3.8051522333109338
mail.ttsd.k12.or.us,0,4,2.5,6,2,20,13,3.640223928941852
mail.easygoabroad.com,0,12,4.75,4,0,22,19,3.4713544870139303
mail.roentgenprom.ru,0,12,4.5,4,0,21,18,3.4613201402110088
mail.hedratek.com,0,8,3.75,4,0,18,15,3.5068905956085183
m.cunni.co,0,5,2.0,4,0,11,8,2.5
markedup.com,0,8,3.6666666666666665,3,0,13,11,3.2776134368191165
www.ayrskatingclub.com,0,14,5.0,4,0,23,20,3.8841837197791884
mail.policesurvivors.net,0,15,5.5,4,0,25,22,3.6978458230844122
www.mikeou.com,0,6,3.0,4,0,15,12,2.8553885422075336
recruit-bos.cape.com,0,11,4.5,4,0,21,17,3.454822399946607
www.olxcompara.com.br,0,10,3.6,5,0,22,18,3.197159723424149
panamerik.agilecrm.com,0,9,5.0,4,0,23,20,3.4464393446710155
www.kun.ch,0,3,2.0,4,0,11,8,2.4056390622295662
www.hushstack.com,0,9,3.75,4,0,18,15,3.1898980954642875
mail.goforit.com,0,7,3.5,4,0,17,14,3.182005814760214
api.zervant.com,0,7,3.25,4,0,16,13,3.5465935642949384
cdn.dadshop.com.au,0,7,3.0,5,0,19,15,3.189898095464287
www.pennstatefightscancer.com,0,21,6.75,4,0,30,27,3.726204631392456
mail.atlasport.net,0,9,4.0,4,0,19,16,3.2806390622295662
69-7-8-151.rev.cape.com,0,10,4.0,5,7,24,10,3.734521664779752
cdn.lovecuteanimals.com,0,15,5.25,4,0,24,21,3.594465636961452
zap.com.br,0,3,2.0,4,0,11,8,3.0
www.mybabysnamequilts.com,0,17,5.75,4,0,26,23,3.7622673906514947
helloreverb.com,0,11,4.666666666666667,3,0,16,14,3.039148671903071
www.30db.com,0,4,2.5,4,2,13,8,2.8464393446710154
server1.8591.com.tw,0,7,3.2,5,5,20,11,3.625
ghs-vip-any-c958.ghs-ssl.googlehosted.com,0,16,7.6,5,3,42,31,3.9590943713503313
www.socialnmobile.com,0,13,4.75,4,0,22,19,3.326360407952695
www.hiskio.com,0,6,3.0,4,0,15,12,2.8553885422075336
mail.nfgp.com,0,4,2.75,4,0,14,11,3.2776134368191165
www.lumosense.com,0,9,3.75,4,0,18,15,3.056564762130954
www.bunkerchan.org,0,10,4.0,4,0,19,16,3.452819531114783
cdn.snapfinger.com,0,10,4.0,4,0,19,16,3.577819531114783
www.shastaconservationfund.org.ghs.googlehosted.com,0,22,6.571428571428571,7,0,52,46,3.9194217399304723
ghs-vip-any-c268.ghs-ssl.googlehosted.com,0,16,7.6,5,3,42,31,3.9590943713503313
ghs-vip-any-c1264.ghs-ssl.googlehosted.com,0,17,7.8,5,4,43,31,4.033153646184958
news.efinancialcareers.com.au,0,17,5.2,5,0,30,26,3.488525294897748
www.kappafikom.org,0,10,4.0,4,0,19,16,3.202819531114783
www.mowamowa.net,0,8,3.5,4,0,17,14,2.5495234595978316
docs.rotokawa.school.nz,0,8,4.0,5,0,24,20,3.4414460711655215
adtima.vn,0,6,2.6666666666666665,3,0,10,8,2.75
www.crypticgames.com,0,12,4.5,4,0,21,18,3.5304930567574826
jinx.com,0,4,2.3333333333333335,3,0,9,7,2.8073549220576046
mail.nbashford.com,0,9,4.0,4,0,19,16,3.625
mail.northeasthog.com,0,12,4.75,4,0,22,19,3.576617644908667
cdn.pilotage-rc.ru,0,11,4.0,4,0,19,15,3.640223928941852
mail.rauduspuu.fi,0,9,3.75,4,0,18,15,3.1068905956085184
www.olympus.co.uk,0,7,2.8,5,0,18,14,3.182005814760214
livesportmedia.eu,0,14,5.333333333333333,3,0,18,16,3.577819531114783
mindwerx.agilecrm.com,0,8,4.75,4,0,22,19,3.576617644908667
cdn.careco.jp,0,6,2.75,4,0,14,11,3.0271691184406193
www.intelligenceinperspective.com,0,25,7.75,4,0,34,31,3.5421176810056703
mail.mattbiddle.net,0,10,4.25,4,0,20,17,3.1018812234760182
voiceglobalcoaching.com,0,19,7.333333333333333,3,0,24,22,3.368522527728206
cdn.elaborare.com,0,9,3.75,4,0,18,15,3.240223928941852
cdn.hadooptraininginhyderabad.co.in,0,25,6.4,5,0,36,32,3.551108500731241
freemium.contabilizei.com,0,12,5.75,4,0,26,23,3.588354347173234
vps.dokucraft.co.uk,0,9,3.2,5,0,20,16,3.5
pengreendesign.agilecrm.com,0,14,6.25,4,0,28,25,3.4790795706241746
mail.conmix.com,0,6,3.25,4,0,16,13,2.8731406795131336
app.colrow.net,0,6,3.0,4,0,15,12,3.2516291673878226
cdn.seraphine.fr,0,9,3.5,4,0,17,14,3.378783493486176
ikao.iawsnetwork.com,0,11,4.5,4,0,21,18,3.4613201402110083
pressurenet.io,0,11,4.333333333333333,3,0,15,13,3.0269868333592873
www.horndogadvisor.com,0,14,5.0,4,0,23,20,3.484183719779188
tsc-218.cape.com,0,7,3.5,4,3,17,10,3.334679141051595
www.omfactorynyc.com,0,12,4.5,4,0,21,18,3.1552215288595122
www.tisforthomas.com,0,12,4.5,4,0,21,18,3.3082708345352603
ghs-vip-any-c372.ghs-ssl.googlehosted.com,0,16,7.6,5,3,42,31,3.9590943713503313
mail.charliesevents.com,0,14,5.25,4,0,24,21,3.594465636961452
www.stinnes.com,0,7,3.25,4,0,16,13,3.0269868333592873
mrsternberg.googlepages.com,0,11,6.25,4,0,28,25,3.463465189601647
cdn.homesogood.com,0,10,4.0,4,0,19,16,2.8993974703476995
ezbulka.googlepages.com,0,11,5.25,4,0,24,21,3.5225715891363594
server.ultrapat.xyz,0,8,4.25,4,0,20,17,3.454822399946607
www.creatorsofculture.com,0,17,5.75,4,0,26,23,3.435755433941628
garycarstensen.googlepages.com,0,14,7.0,4,0,31,28,3.5121884039686613
mail.gdobrasyservicios.com,0,17,6.0,4,0,27,24,3.6572682296173897
www.edunation.my,0,9,3.5,4,0,17,14,3.3248629576173565
cdn.galaxia.co,0,7,3.0,4,0,15,12,3.0220552088742
ghs-svc-https-c684.ghs-ssl.googlehosted.com,0,18,8.0,5,3,44,33,3.5821122386998074
webmail.maplespecialties.com,0,16,6.5,4,0,29,26,3.430457025500558
airtel.in,0,6,2.6666666666666665,3,0,10,8,2.75
buycheapticket.googlepages.com,0,14,7.0,4,0,31,28,3.797902689682947
sawali64.googlepages.com,0,11,5.5,4,2,25,20,3.538310595615006
www.eldiario.net,0,8,3.5,4,0,17,14,3.182005814760214
www.yukonweb.wis.net,0,8,3.4,5,0,21,17,3.1692486956952335
bnef.com,0,4,2.3333333333333335,3,0,9,7,2.8073549220576046
